,Winner,R_fighter,Fighter,Height,Reach,Stance,Weight,age,loss,win,draws,streak,cum_match_time,avg_cum_KD,avg_cum_Sub. att,avg_cum_Pass,avg_cum_Rev.,avg_cum_Sig. str. Hits,avg_cum_Sig. str. Attempts,avg_cum_Total str. Hits,avg_cum_Total str. Attempts,avg_cum_Td Hits,avg_cum_Td Attempts,avg_cum_Head Hits,avg_cum_Head Attempts,avg_cum_Body Hits,avg_cum_Body Attempts,avg_cum_Leg Hits,avg_cum_Leg Attempts,avg_cum_Distance Hits,avg_cum_Distance Attempts,avg_cum_Clinch Hits,avg_cum_Clinch Attempts,avg_cum_Ground Hits,avg_cum_Ground Attempts,eff_sig_str,eff_hits,eff_tds,eff_head,eff_leg,eff_body,eff_distance,eff_clinch,eff_ground,Fighter.1,Height.1,Reach.1,Stance.1,Weight.1,age.1,loss.1,win.1,draws.1,streak.1,cum_match_time.1,avg_cum_KD.1,avg_cum_Sub. att.1,avg_cum_Pass.1,avg_cum_Rev..1,avg_cum_Sig. str. Hits.1,avg_cum_Sig. str. Attempts.1,avg_cum_Total str. Hits.1,avg_cum_Total str. Attempts.1,avg_cum_Td Hits.1,avg_cum_Td Attempts.1,avg_cum_Head Hits.1,avg_cum_Head Attempts.1,avg_cum_Body Hits.1,avg_cum_Body Attempts.1,avg_cum_Leg Hits.1,avg_cum_Leg Attempts.1,avg_cum_Distance Hits.1,avg_cum_Distance Attempts.1,avg_cum_Clinch Hits.1,avg_cum_Clinch Attempts.1,avg_cum_Ground Hits.1,avg_cum_Ground Attempts.1,eff_sig_str.1,eff_hits.1,eff_tds.1,eff_head.1,eff_leg.1,eff_body.1,eff_distance.1,eff_clinch.1,eff_ground.1,WEIGHT_CLASS,title_bout,location,attendance,num_rounds,label,matches,matches.1
1556,win,Paul Craig,Henrique da Silva,75,76, Orthodox,205,27.31,0.0,2.0,0.0,2.0,18.9,0.0,0.53,2.65,1.06,66.14,112.17,79.37,125.93,0.0,0.0,38.1,76.72,23.28,30.16,4.76,5.29,26.46,58.73,21.69,31.22,17.99,22.22,0.59,0.63,0.0,0.5,0.9,0.77,0.45,0.69,0.81,Paul Craig,75,76, Orthodox,205,29.08,0.0,0.0,0.0,0.0,6.98,0.0,4.3,4.3,0.0,44.41,70.2,81.66,107.45,1.43,2.87,30.09,53.01,12.89,15.76,1.43,1.43,20.06,38.68,17.19,22.92,7.16,8.6,0.63,0.76,0.5,0.57,1.0,0.82,0.52,0.75,0.83,Light Heavyweight,0.0,"Sacramento, California, USA",13136.0,3,1,3.0,1.0
1557,win,Mizuto Hirota,Cole Miller,73,74, Orthodox,145,32.67,8.0,10.0,1.0,-3.0,186.65,0.21,1.29,1.5,0.43,31.29,94.08,43.4,107.31,0.43,1.18,21.97,79.61,5.25,9.48,4.07,4.98,24.43,83.69,3.75,5.84,3.11,4.55,0.33,0.4,0.36,0.28,0.82,0.55,0.29,0.64,0.68,Mizuto Hirota,67,67, Orthodox,155,35.64,2.0,0.0,1.0,-3.0,45.0,0.0,0.0,0.22,0.0,37.33,88.0,56.0,109.56,0.67,1.56,26.22,73.56,8.22,10.89,2.89,3.56,34.0,82.67,3.33,5.11,0.0,0.22,0.42,0.51,0.43,0.36,0.81,0.76,0.41,0.65,0.0,Featherweight,0.0,"Sacramento, California, USA",13136.0,3,1,20.0,4.0
1558,win,Colby Covington,Bryan Barberena,72,72, Southpaw,170,27.64,1.0,3.0,0.0,2.0,51.5,0.19,0.19,0.19,0.0,58.83,117.09,84.66,146.41,0.39,0.97,37.48,88.16,8.16,12.43,13.2,16.5,39.03,87.96,12.43,19.81,7.38,9.32,0.5,0.58,0.4,0.43,0.8,0.66,0.44,0.63,0.79,Colby Covington,61,72, Orthodox,170,28.84,1.0,5.0,0.0,2.0,57.89,0.17,0.35,6.05,0.0,18.48,36.62,86.2,120.4,3.63,7.6,14.34,30.75,3.11,4.84,1.04,1.04,6.56,18.48,1.9,2.76,10.02,15.37,0.5,0.72,0.48,0.47,1.0,0.64,0.36,0.69,0.65,Welterweight,0.0,"Sacramento, California, USA",13136.0,3,1,5.0,7.0
1559,win,Alex Morono,James Moontasri,61,71, Switch,170,28.71,3.0,2.0,0.0,-1.0,44.35,0.45,0.23,0.45,0.0,21.65,43.97,51.86,80.27,0.0,0.23,15.33,35.85,3.38,4.96,2.93,3.16,7.44,18.04,5.41,8.57,8.79,17.36,0.49,0.65,0.0,0.43,0.93,0.68,0.41,0.63,0.51,Alex Morono,61,72, Orthodox,170,26.36,0.0,1.0,0.0,1.0,15.0,0.0,0.67,0.67,0.0,28.67,83.33,54.0,110.67,0.0,0.0,22.67,73.33,4.0,6.0,2.0,4.0,23.33,72.67,2.67,7.33,2.67,3.33,0.34,0.49,0.0,0.31,0.5,0.67,0.32,0.36,0.8,Welterweight,0.0,"Sacramento, California, USA",13136.0,3,1,6.0,2.0
1560,win,Josh Emmett,Scott Holtzman,69,69, Orthodox,155,33.24,1.0,2.0,0.0,1.0,42.67,0.23,0.47,1.87,0.23,37.97,71.71,69.14,106.63,1.41,2.58,25.78,56.25,8.2,10.78,3.98,4.69,22.97,52.03,9.61,12.42,5.39,7.27,0.53,0.65,0.55,0.46,0.85,0.76,0.44,0.77,0.74,Josh Emmett,66,70, Orthodox,145,31.81,0.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,36.0,101.33,36.0,102.0,0.0,1.33,21.33,76.0,7.33,15.33,7.33,10.0,36.0,100.67,0.0,0.67,0.0,0.0,0.36,0.35,0.0,0.28,0.73,0.48,0.36,0.0,0.0,Lightweight,0.0,"Sacramento, California, USA",13136.0,3,1,4.0,2.0
1561,win,Leslie Smith,Irene Aldana,69,68, Orthodox,135,28.75,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,72.0,170.67,72.0,170.67,0.67,0.67,56.0,150.0,6.0,7.33,10.0,13.33,62.67,156.0,8.67,12.67,0.67,2.0,0.42,0.42,1.0,0.37,0.75,0.82,0.4,0.68,0.33,Leslie Smith,69,66, Orthodox,135,34.36,3.0,2.0,0.0,-1.0,40.25,0.25,0.0,0.0,0.0,51.43,146.58,59.63,155.78,0.0,1.24,36.02,127.2,7.2,10.93,8.2,8.45,39.25,128.94,12.17,17.64,0.0,0.0,0.35,0.38,0.0,0.28,0.97,0.66,0.3,0.69,0.0,Women's Bantamweight,0.0,"Sacramento, California, USA",13136.0,3,1,1.0,6.0
1562,win,Eddie Wineland,Takeya Mizugaki,67,68, Orthodox,135,33.03,5.0,8.0,0.0,-1.0,158.50000000000003,0.19,0.06,0.69,0.0,37.85,94.07,55.65,115.08,1.01,2.02,27.44,80.25,7.63,9.65,2.78,4.16,25.74,72.74,6.25,11.29,5.87,10.03,0.4,0.48,0.5,0.34,0.67,0.79,0.35,0.55,0.58,Eddie Wineland,67,69, Orthodox,135,32.5,5.0,4.0,0.0,1.0,100.54,0.4,0.0,0.3,0.0,34.91,117.37,38.49,120.95,0.2,0.99,27.85,105.63,5.17,9.45,1.89,2.29,29.54,108.61,1.99,2.88,3.38,5.87,0.3,0.32,0.2,0.26,0.83,0.55,0.27,0.69,0.58,Bantamweight,0.0,"Sacramento, California, USA",13136.0,3,1,14.0,10.0
1563,win,Hector Sandoval,Fredy Serrano,63,65, Orthodox,125,37.26,1.0,2.0,0.0,-1.0,27.3,0.37,0.0,2.2,0.0,16.48,59.71,34.43,82.42,2.93,8.79,11.36,50.92,4.03,6.59,1.1,2.2,14.29,54.21,1.47,4.76,0.73,0.73,0.28,0.42,0.33,0.22,0.5,0.61,0.26,0.31,1.0,Hector Sandoval,62,64, Orthodox,125,30.44,1.0,0.0,0.0,-1.0,1.82,0.0,0.0,5.49,5.49,27.47,71.43,43.96,87.91,0.0,0.0,16.48,60.44,5.49,5.49,5.49,5.49,27.47,60.44,0.0,10.99,0.0,0.0,0.38,0.5,0.0,0.27,1.0,1.0,0.45,0.0,0.0,Flyweight,0.0,"Sacramento, California, USA",13136.0,3,1,4.0,2.0
1564,win,Sultan Aliev,Sultan Aliev,61,74, Orthodox,170,32.27,1.0,0.0,0.0,-1.0,2.7,0.0,0.0,0.0,0.0,29.63,51.85,29.63,51.85,0.0,0.0,18.52,40.74,11.11,11.11,0.0,0.0,22.22,40.74,7.41,11.11,0.0,0.0,0.57,0.57,0.0,0.45,0.0,1.0,0.55,0.67,0.0,Bojan Velickovic,72,76, Southpaw,170,28.02,0.0,1.0,1.0,-1.0,30.0,0.0,0.33,0.67,0.33,20.67,64.0,38.67,85.0,0.67,2.33,6.33,40.0,4.33,7.67,10.0,16.33,19.33,61.33,1.33,2.67,0.0,0.0,0.32,0.45,0.29,0.16,0.61,0.57,0.32,0.5,0.0,Welterweight,0.0,"Sacramento, California, USA",13136.0,3,0,2.0,3.0
1565,win,Max Holloway,Max Holloway,61,69, Orthodox,145,25.04,3.0,12.0,0.0,9.0,171.88000000000002,0.35,0.41,0.76,0.0,56.14,129.63,61.61,135.97,0.12,0.17,39.56,106.7,12.57,17.8,4.01,5.12,43.75,112.35,7.21,10.47,5.18,6.81,0.43,0.45,0.67,0.37,0.78,0.71,0.39,0.69,0.76,Anthony Pettis,61,72, Orthodox,155,29.89,4.0,6.0,0.0,1.0,112.31,0.18,0.36,0.62,0.53,27.78,63.13,48.17,84.32,0.53,1.16,19.41,52.0,4.9,7.57,3.47,3.56,24.13,56.72,1.42,2.58,2.23,3.83,0.44,0.57,0.46,0.37,0.97,0.65,0.43,0.55,0.58,Featherweight,1.0,"Toronto, Ontario, Canada",18057.0,5,0,16.0,11.0
1566,win,Donald Cerrone,Donald Cerrone,73,73, Orthodox,155,33.73,4.0,18.0,0.0,3.0,196.29,0.61,0.51,1.22,0.1,48.19,95.83,55.99,104.95,0.87,1.99,22.06,63.07,11.51,16.05,14.62,16.71,39.64,82.94,3.82,6.01,4.74,6.88,0.5,0.53,0.44,0.35,0.88,0.72,0.48,0.64,0.69,Matt Brown,72,75, Orthodox,170,35.94,9.0,13.0,0.0,-2.0,204.86,0.34,1.12,0.78,0.2,36.17,67.07,54.96,88.21,1.12,2.34,22.45,49.45,10.1,12.5,3.61,5.13,18.89,44.91,10.25,12.64,7.03,9.52,0.54,0.62,0.48,0.45,0.7,0.81,0.42,0.81,0.74,Welterweight,0.0,"Toronto, Ontario, Canada",18057.0,3,0,23.0,23.0
1567,win,Cub Swanson,Cub Swanson,68,70, Orthodox,145,33.13,3.0,8.0,0.0,2.0,147.84,0.41,0.14,0.61,0.0,36.46,78.4,45.05,87.87,0.47,0.74,23.61,60.54,5.88,8.18,6.97,9.67,28.54,67.84,1.83,2.23,6.09,8.32,0.47,0.51,0.64,0.39,0.72,0.72,0.42,0.82,0.73,Dooho Choi,61,70, Orthodox,145,25.69,0.0,3.0,0.0,3.0,4.550000000000001,6.59,0.0,0.0,0.0,70.33,105.49,74.73,114.29,0.0,0.0,68.13,103.3,2.2,2.2,0.0,0.0,41.76,70.33,2.2,2.2,26.37,32.97,0.67,0.65,0.0,0.66,0.0,1.0,0.59,1.0,0.8,Featherweight,0.0,"Toronto, Ontario, Canada",18057.0,3,0,12.0,4.0
1568,win,Kelvin Gastelum,Tim Kennedy,61,74, Orthodox,185,37.3,1.0,3.0,0.0,-1.0,55.64,0.18,0.18,2.16,0.18,26.6,56.61,39.9,72.79,1.26,3.77,13.84,37.56,5.75,9.88,7.01,9.17,16.36,42.24,5.93,7.55,4.31,6.83,0.47,0.55,0.33,0.37,0.76,0.58,0.39,0.79,0.63,Kelvin Gastelum,69,71, Southpaw,185,25.15,2.0,7.0,0.0,1.0,117.2,0.26,0.17,1.28,0.34,38.91,92.15,57.08,113.31,0.77,1.54,25.43,75.26,7.34,9.9,6.14,7.0,31.31,79.44,4.78,8.19,2.82,4.52,0.42,0.5,0.5,0.34,0.88,0.74,0.39,0.58,0.62,Middleweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,5.0,10.0
1569,win,Emil Meek,Emil Meek,61,74, Switch,170,28.33,0.0,0.0,0.0,0.0,15.0,0.0,0.67,2.0,0.0,33.33,88.67,64.0,126.67,0.67,1.33,16.67,66.0,11.33,14.67,5.33,8.0,18.0,66.0,0.67,5.33,14.67,17.33,0.38,0.51,0.5,0.25,0.67,0.77,0.27,0.12,0.85,Jordan Mein,72,73, Orthodox,170,27.19,2.0,3.0,0.0,-1.0,32.55,0.92,0.0,1.23,0.0,44.85,94.01,50.08,99.85,1.23,1.23,32.87,80.18,7.07,8.91,4.92,4.92,33.49,76.19,5.53,8.6,5.84,9.22,0.48,0.5,1.0,0.41,1.0,0.79,0.44,0.64,0.63,Welterweight,0.0,"Toronto, Ontario, Canada",18057.0,3,0,1.0,6.0
1570,win,Misha Cirkunov,Nikita Krylov,75,77, Orthodox,205,24.78,2.0,6.0,0.0,5.0,36.15,0.83,1.38,1.66,0.83,69.43,113.14,117.01,165.98,0.0,1.11,45.92,80.77,14.94,21.85,8.58,10.51,26.83,60.03,30.15,37.9,12.45,15.21,0.61,0.7,0.0,0.57,0.82,0.68,0.45,0.8,0.82,Misha Cirkunov,75,77, Orthodox,205,29.81,0.0,3.0,0.0,3.0,22.589999999999996,0.0,0.89,4.87,0.0,44.27,82.34,81.01,128.82,3.1,5.75,34.97,66.84,7.53,13.28,1.77,2.21,26.12,58.43,9.74,15.49,8.41,8.41,0.54,0.63,0.54,0.52,0.8,0.57,0.45,0.63,1.0,Light Heavyweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,9.0,4.0
1571,win,Olivier Aubin-Mercier,Drew Dober,68,70, Southpaw,155,28.16,3.0,3.0,1.0,2.0,57.27,0.17,0.17,1.4,0.0,33.7,99.35,49.42,117.34,0.87,5.24,21.83,81.37,5.59,9.6,6.29,8.38,23.57,81.72,8.21,15.19,1.92,2.44,0.34,0.42,0.17,0.27,0.75,0.58,0.29,0.54,0.79,Olivier Aubin-Mercier,69,70, Southpaw,155,27.81,2.0,4.0,0.0,1.0,77.41999999999999,0.13,0.39,1.94,0.0,28.55,53.22,48.7,76.72,2.2,6.72,19.5,42.11,6.07,8.14,2.97,2.97,20.54,43.27,4.26,5.42,3.75,4.52,0.54,0.63,0.33,0.46,1.0,0.75,0.47,0.79,0.83,Lightweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,8.0,7.0
1572,win,Viviane Pereira,Valerie Letourneau,67,68, Orthodox,115,33.64,2.0,3.0,0.0,-2.0,82.73,0.12,0.24,0.6,0.12,47.62,121.84,57.66,134.29,0.48,1.21,33.24,101.9,9.67,13.42,4.71,6.53,40.13,109.03,6.04,10.88,1.45,1.93,0.39,0.43,0.4,0.33,0.72,0.72,0.37,0.56,0.75,Viviane Pereira,61,63, Orthodox,115,23.3,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.67,0.0,16.67,64.67,28.0,81.33,0.67,0.67,8.0,48.67,4.0,10.67,4.67,5.33,13.33,59.33,2.67,4.0,0.67,1.33,0.26,0.34,1.0,0.16,0.88,0.38,0.22,0.67,0.5,Women's Strawweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,6.0,1.0
1573,win,Matthew Lopez,Matthew Lopez,67,69, Southpaw,135,29.91,1.0,0.0,0.0,-1.0,14.32,0.0,1.4,0.0,0.7,9.78,23.74,18.16,32.12,0.7,0.7,4.89,18.85,2.09,2.09,2.79,2.79,9.08,22.35,0.0,0.7,0.7,0.7,0.41,0.57,1.0,0.26,1.0,1.0,0.41,0.0,1.0,Mitch Gagnon,65,65, Southpaw,135,32.19,2.0,4.0,0.0,-1.0,47.86000000000001,0.21,1.67,0.63,0.21,35.31,75.01,50.77,91.93,1.04,3.97,21.94,57.67,9.19,12.54,4.18,4.81,22.57,55.16,8.15,12.33,4.6,7.52,0.47,0.55,0.26,0.38,0.87,0.73,0.41,0.66,0.61,Bantamweight,0.0,"Toronto, Ontario, Canada",18057.0,3,0,2.0,7.0
1574,win,Lando Vannata,John Makdessi,68,68, Orthodox,155,31.63,5.0,7.0,0.0,1.0,136.05,0.37,0.0,0.0,0.0,53.73,105.55,58.07,110.92,0.0,0.22,28.3,67.62,14.48,24.55,10.95,13.38,49.17,96.14,2.57,5.37,1.98,4.04,0.51,0.52,0.0,0.42,0.82,0.59,0.51,0.48,0.49,Lando Vannata,69,71, Orthodox,155,24.76,1.0,0.0,0.0,-1.0,7.37,1.36,0.0,0.0,0.0,54.27,149.25,56.99,151.97,0.0,2.71,35.28,111.26,12.21,24.42,6.78,13.57,46.13,130.26,2.71,8.14,5.43,10.85,0.36,0.38,0.0,0.32,0.5,0.5,0.35,0.33,0.5,Lightweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,13.0,2.0
1575,win,Rustam Khabilov,Jason Saggo,61,71, Orthodox,155,31.07,1.0,3.0,0.0,2.0,39.47,0.25,0.0,5.07,0.51,27.11,61.06,45.6,85.63,2.28,5.32,19.76,47.38,2.28,5.57,5.07,8.11,13.43,40.28,1.01,1.77,12.67,19.0,0.44,0.53,0.43,0.42,0.62,0.41,0.33,0.57,0.67,Rustam Khabilov,68,73, Orthodox,155,30.12,2.0,6.0,0.0,3.0,96.05,0.1,0.1,0.83,0.1,19.89,55.49,32.59,69.65,2.92,6.25,14.89,46.33,2.39,4.89,2.6,4.27,11.24,43.73,1.98,3.12,6.66,8.64,0.36,0.47,0.47,0.32,0.61,0.49,0.26,0.63,0.77,Lightweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,5.0,9.0
1576,win,Dustin Ortiz,Zach Makovsky,64,64, Southpaw,125,33.67,3.0,3.0,0.0,-2.0,90.0,0.0,0.11,1.89,0.33,20.33,47.78,32.89,61.56,2.44,8.33,12.44,37.67,2.78,4.33,5.11,5.78,14.78,39.89,2.0,2.89,3.56,5.0,0.43,0.53,0.29,0.33,0.88,0.64,0.37,0.69,0.71,Dustin Ortiz,65,65, Orthodox,125,27.98,4.0,4.0,0.0,-2.0,116.28999999999999,0.0,0.09,2.06,0.43,31.13,69.14,67.33,109.47,1.46,4.99,19.43,54.0,9.12,11.78,2.58,3.35,11.18,42.91,8.08,11.52,11.87,14.7,0.45,0.62,0.29,0.36,0.77,0.77,0.26,0.7,0.81,Flyweight,0.0,"Toronto, Ontario, Canada",18057.0,3,1,7.0,9.0
1577,win,Derrick Lewis,Shamil Abdurakhimov,75,76, Orthodox,235,35.29,1.0,2.0,0.0,2.0,34.95,0.0,0.0,0.29,0.0,33.76,73.53,43.49,84.12,0.29,3.15,21.46,55.51,3.43,5.72,8.87,12.3,22.03,54.65,10.87,17.17,0.86,1.72,0.46,0.52,0.09,0.39,0.72,0.6,0.4,0.63,0.5,Derrick Lewis,75,79, Orthodox,260,31.86,2.0,7.0,0.0,4.0,55.989999999999995,0.18,0.0,2.14,0.18,35.18,60.73,40.72,67.15,0.54,1.61,30.01,54.12,4.82,5.89,0.36,0.71,5.89,18.93,9.47,11.79,19.82,30.01,0.58,0.61,0.33,0.55,0.5,0.82,0.31,0.8,0.66,Heavyweight,0.0,"Albany, New York, USA",,5,1,4.0,10.0
1578,win,Francis Ngannou,Francis Ngannou,76,83, Orthodox,250,30.28,0.0,3.0,0.0,3.0,19.45,0.51,0.0,0.0,0.0,35.48,76.61,48.84,91.52,0.0,0.0,28.79,68.38,4.11,5.14,2.57,3.08,25.71,60.15,4.63,5.14,5.14,11.31,0.46,0.53,0.0,0.42,0.83,0.8,0.43,0.9,0.45,Anthony Hamilton,77,76, Orthodox,260,36.68,3.0,3.0,0.0,1.0,42.35999999999999,0.24,0.0,1.18,0.0,47.21,65.39,61.85,80.74,1.89,3.54,15.34,31.87,28.8,29.98,3.07,3.54,7.79,18.89,18.89,24.32,20.54,22.19,0.72,0.77,0.53,0.48,0.87,0.96,0.41,0.78,0.93,Heavyweight,0.0,"Albany, New York, USA",,3,0,4.0,7.0
1579,win,Corey Anderson,Corey Anderson,75,79, Orthodox,205,27.23,2.0,5.0,0.0,-1.0,90.32,0.0,0.0,1.88,0.0,48.05,108.5,74.62,140.28,2.66,5.54,36.76,93.45,7.53,10.96,3.76,4.1,30.67,83.15,7.86,13.29,9.52,12.07,0.44,0.53,0.48,0.39,0.92,0.69,0.37,0.59,0.79,Sean O'Connell,73,74, Orthodox,205,33.29,4.0,2.0,0.0,-2.0,48.06,0.62,0.42,0.21,0.0,61.38,125.26,93.22,160.01,0.0,2.08,42.03,101.54,13.11,16.23,6.24,7.49,43.9,102.37,15.4,18.93,2.08,3.95,0.49,0.58,0.0,0.41,0.83,0.81,0.43,0.81,0.53,Light Heavyweight,0.0,"Albany, New York, USA",,3,0,8.0,7.0
1580,win,Gian Villante,Saparbeg Safarov,73,78, Orthodox,205,30.18,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,46.84,165.82,46.84,165.82,0.0,2.53,37.97,151.9,7.59,12.66,1.27,1.27,44.3,159.49,2.53,5.06,0.0,1.27,0.28,0.28,0.0,0.25,1.0,0.6,0.28,0.5,0.0,Gian Villante,75,76, Orthodox,205,31.33,4.0,4.0,0.0,-1.0,84.60000000000001,0.24,0.0,0.47,0.0,40.19,85.34,48.46,94.68,0.59,2.36,22.1,61.7,5.79,9.22,12.29,14.42,33.69,76.36,4.61,6.62,1.89,2.36,0.47,0.51,0.25,0.36,0.85,0.63,0.44,0.7,0.8,Light Heavyweight,0.0,"Albany, New York, USA",,3,1,1.0,9.0
1581,win,Justine Kish,Justine Kish,65,64, Orthodox,125,28.68,0.0,1.0,0.0,1.0,15.0,0.0,0.0,3.33,0.0,48.0,90.0,60.67,103.33,2.0,6.67,30.0,62.67,8.0,12.67,10.0,14.67,33.33,70.67,11.33,15.33,3.33,4.0,0.53,0.59,0.3,0.48,0.68,0.63,0.47,0.74,0.83,Ashley Yoder,67,69, Southpaw,115,29.16,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.67,2.0,29.33,77.33,51.33,104.0,0.67,1.33,20.67,56.0,8.0,20.0,0.67,1.33,23.33,65.33,2.67,6.67,3.33,5.33,0.38,0.49,0.5,0.37,0.5,0.4,0.36,0.4,0.62,Women's Strawweight,0.0,"Albany, New York, USA",,3,0,2.0,1.0
1582,win,Randy Brown,Brian Camozzi,74,78, Orthodox,170,25.48,0.0,0.0,0.0,0.0,6.42,0.0,1.56,0.0,0.0,17.13,54.52,20.25,57.63,0.0,4.67,4.67,37.38,0.0,0.0,12.46,17.13,15.58,48.29,0.0,4.67,1.56,1.56,0.31,0.35,0.0,0.12,0.73,0.0,0.32,0.0,1.0,Randy Brown,75,78, Orthodox,170,26.44,1.0,2.0,0.0,1.0,32.82,0.0,0.91,0.3,0.0,21.33,47.84,31.38,58.81,0.61,2.44,14.02,37.78,4.88,6.09,2.44,3.96,10.05,33.82,10.05,12.8,1.22,1.22,0.45,0.53,0.25,0.37,0.62,0.8,0.3,0.79,1.0,Welterweight,0.0,"Albany, New York, USA",,3,1,1.0,4.0
1583,win,Gerald Meerschaert,Gerald Meerschaert,73,77, Southpaw,185,29.0,0.0,0.0,0.0,0.0,4.2,0.0,2.38,2.38,0.0,33.33,80.95,42.86,92.86,0.0,4.76,30.95,78.57,2.38,2.38,0.0,0.0,19.05,57.14,7.14,16.67,7.14,7.14,0.41,0.46,0.0,0.39,0.0,1.0,0.33,0.43,1.0,Joe Gigliotti,61,69, Orthodox,185,23.34,1.0,0.0,0.0,-1.0,15.0,0.0,0.67,0.0,0.0,10.0,20.67,16.0,26.67,0.67,0.67,6.67,17.33,3.33,3.33,0.0,0.0,4.0,12.67,5.33,6.67,0.67,1.33,0.48,0.6,1.0,0.38,0.0,1.0,0.32,0.8,0.5,Middleweight,0.0,"Albany, New York, USA",,3,0,1.0,2.0
1584,win,Andrew Sanchez,Trevor Smith,75,75, Orthodox,185,35.95,3.0,4.0,0.0,2.0,76.27000000000001,0.13,0.79,2.88,0.26,37.24,58.87,68.31,92.3,1.18,3.54,21.37,41.04,8.13,9.7,7.74,8.13,17.83,35.01,9.18,11.01,10.23,12.85,0.63,0.74,0.33,0.52,0.95,0.84,0.51,0.83,0.8,Andrew Sanchez,73,74, Orthodox,185,28.69,0.0,1.0,0.0,1.0,15.0,0.0,0.0,3.33,0.0,20.67,28.67,78.67,106.0,4.0,8.0,15.33,22.0,3.33,4.67,2.0,2.0,6.67,12.0,0.0,0.0,14.0,16.67,0.72,0.74,0.5,0.7,1.0,0.71,0.56,0.0,0.84,Middleweight,0.0,"Albany, New York, USA",,3,1,8.0,2.0
1585,win,Shane Burgos,Tiago Trator,69,70, Orthodox,145,29.68,1.0,2.0,0.0,1.0,32.980000000000004,0.0,0.3,1.82,0.61,36.69,90.05,52.46,108.55,0.3,1.82,13.95,57.91,8.19,14.86,14.55,17.28,26.68,74.29,9.7,15.16,0.3,0.61,0.41,0.48,0.17,0.24,0.84,0.55,0.36,0.64,0.5,Shane Burgos,61,75, Orthodox,145,25.75,0.0,0.0,0.0,0.0,15.0,0.67,0.0,1.33,0.0,48.67,126.0,58.0,144.0,0.67,0.67,41.33,116.0,6.0,8.67,1.33,1.33,33.33,105.33,6.67,8.0,8.67,12.67,0.39,0.4,1.0,0.36,1.0,0.69,0.32,0.83,0.68,Featherweight,0.0,"Albany, New York, USA",,3,1,4.0,1.0
1586,win,Marc Diakiese,Marc Diakiese,61,73, Orthodox,155,23.75,0.0,1.0,0.0,1.0,9.67,0.0,0.0,0.0,0.0,49.64,119.96,63.08,133.4,1.03,1.03,37.23,102.38,5.17,9.31,7.24,8.27,35.16,88.93,13.44,29.99,1.03,1.03,0.41,0.47,1.0,0.36,0.88,0.56,0.4,0.45,1.0,Frankie Perez,61,73, Orthodox,155,27.6,1.0,1.0,0.0,1.0,12.8,0.78,0.78,0.78,0.0,21.88,42.19,30.47,50.78,0.78,3.12,10.94,28.91,3.91,6.25,7.03,7.03,15.62,34.38,0.78,1.56,5.47,6.25,0.52,0.6,0.25,0.38,1.0,0.62,0.45,0.5,0.88,Lightweight,0.0,"Albany, New York, USA",,3,0,2.0,3.0
1587,win,Ryan Janes,Ryan Janes,75,76, Orthodox,185,35.32,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.67,0.67,54.67,142.67,66.0,158.0,0.0,0.0,36.67,120.0,10.0,14.0,8.0,8.67,50.0,134.67,3.33,5.33,1.33,2.67,0.38,0.42,0.0,0.31,0.92,0.71,0.37,0.62,0.5,Keith Berish,72,73, Orthodox,205,31.09,0.0,0.0,1.0,-1.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,0.0,"Albany, New York, USA",,3,0,1.0,2.0
1588,win,Juliana Lima,JJ Aldrich,65,67, Southpaw,125,24.21,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,20.67,54.0,74.0,107.33,0.0,0.0,8.67,39.33,12.0,14.67,0.0,0.0,5.33,34.0,12.67,16.67,2.67,3.33,0.38,0.69,0.0,0.22,0.0,0.82,0.16,0.76,0.8,Juliana Lima,65,65, Orthodox,115,34.76,2.0,2.0,0.0,-1.0,60.0,0.0,0.0,0.33,0.5,17.67,38.33,46.33,71.33,0.83,4.0,9.33,26.83,3.67,4.83,4.67,6.67,8.17,24.0,4.33,5.67,5.17,8.67,0.46,0.65,0.21,0.35,0.7,0.76,0.34,0.76,0.6,Women's Strawweight,0.0,"Albany, New York, USA",,3,1,1.0,5.0
