,index,Winner,R_fighter,B_fighter,WEIGHT_CLASS,METHOD,DETAIL,title_bout,date,location,attendance,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url,label,match_time,DOB,Height,Reach,Stance,Weight,DOB.1,Height.1,Reach.1,Stance.1,Weight.1
818,818,win,Ion Cutelaba,Gadzhimurad Antigulov,Light Heavyweight,KO/TKO,Elbows,0.0,28-07-2018,"Calgary, Alberta, Canada",10603.0,Gadzhimurad Antigulov,0,0.66,0.37,0,0,0,12,18,16,22,3,8,8,14,3,3,1,1,0,2,9,10,3,6,Ion Cutelaba,0,0.86,0.0,0,0,0,40,46,40,46,0,0,27,31,13,15,0,0,2,4,38,42,0,0,1,00:04:25,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/95f37dc43e808ebf,1,4.42,09-02-1987,61,70, Orthodox,205,14-12-1993,73,75, Southpaw,205
819,819,win,John Makdessi,Ross Pearson,Lightweight,U-DEC,,0.0,28-07-2018,"Calgary, Alberta, Canada",10603.0,John Makdessi,0,0.5,0.0,0,0,0,131,261,134,265,0,0,99,211,13,25,19,25,120,244,11,17,0,0,Ross Pearson,0,0.35,0.0,0,0,0,79,224,81,226,0,2,51,182,9,15,19,27,79,223,0,1,0,0,3,00:05:00,3 Rnd (5-5-5),Yves Lavigne,http://ufcstats.com/fight-details/3249bbbb7ce837ef,0,15.0,03-05-1985,68,68, Orthodox,155,26-09-1984,68,69, Orthodox,155
820,820,win,Katlyn Chookagian,Alexis Davis,Women's Flyweight,U-DEC,,0.0,28-07-2018,"Calgary, Alberta, Canada",10603.0,Alexis Davis,0,0.34,0.5,0,0,0,70,201,77,208,1,2,24,141,10,17,36,43,66,196,4,5,0,0,Katlyn Chookagian,0,0.3,0.0,0,0,0,62,202,62,202,0,0,50,188,9,11,3,3,61,201,1,1,0,0,3,00:05:00,3 Rnd (5-5-5),Andy Social,http://ufcstats.com/fight-details/c4253cb471013765,1,15.0,04-10-1984,66,68, Orthodox,125,28-12-1988,69,68, Orthodox,125
821,821,win,Dustin Ortiz,Matheus Nicolau,Flyweight,KO/TKO,Kick,0.0,28-07-2018,"Calgary, Alberta, Canada",10603.0,Dustin Ortiz,1,0.18,0.0,0,0,0,8,43,8,43,0,0,6,37,0,2,2,4,5,36,0,0,3,7,Matheus Nicolau,0,0.43,0.0,0,0,0,7,16,7,16,0,0,2,8,2,5,3,3,7,16,0,0,0,0,1,00:03:49,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/09ab925c4cfe0cc5,0,3.82,25-12-1988,65,65, Orthodox,125,06-01-1993,66,66,,125
822,822,win,Nina Ansaroff,Randa Markos,Women's Strawweight,U-DEC,,0.0,28-07-2018,"Calgary, Alberta, Canada",10603.0,Randa Markos,0,0.31,0.09,0,1,0,23,72,30,79,1,11,20,68,2,2,1,2,17,61,0,0,6,11,Nina Ansaroff,0,0.41,0.0,0,1,0,49,118,56,127,0,0,20,84,6,10,23,24,44,107,1,4,4,7,3,00:05:00,3 Rnd (5-5-5),Yves Lavigne,http://ufcstats.com/fight-details/d441715577c5934c,1,15.0,10-08-1985,64,63, Orthodox,115,03-12-1985,65,64, Orthodox,115
823,823,win,Devin Powell,Alvaro Herrera,Lightweight,KO/TKO,Kicks,0.0,28-07-2018,"Calgary, Alberta, Canada",10603.0,Devin Powell,1,0.46,0.0,0,0,0,12,26,12,26,0,1,3,14,5,7,4,5,10,24,0,0,2,2,Alvaro Herrera,0,0.3,0.0,0,0,0,7,23,7,23,0,0,3,19,4,4,0,0,6,22,0,0,1,1,1,00:01:52,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/62f564662f33692d,0,1.87,01-03-1988,72,73, Orthodox,155,14-05-1990,72,74,,155
824,824,win,Anthony Smith,Mauricio Rua,Light Heavyweight,KO/TKO,Punches,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Mauricio Rua,0,0.33,0.0,0,0,0,4,12,4,12,0,0,0,7,1,1,3,4,4,12,0,0,0,0,Anthony Smith,1,0.74,0.0,0,0,0,23,31,23,31,0,0,21,29,0,0,2,2,23,31,0,0,0,0,1,00:01:29,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/62389e8fb68f93a4,1,1.48,25-11-1981,73,76, Orthodox,205,26-07-1988,76,76, Orthodox,205
825,825,win,Corey Anderson,Glover Teixeira,Light Heavyweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Glover Teixeira,0,0.43,0.0,1,0,0,20,46,27,54,0,4,15,39,5,7,0,0,17,42,1,2,2,2,Corey Anderson,0,0.49,0.36,0,7,0,48,97,88,140,7,19,39,87,8,9,1,1,31,69,5,16,12,12,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/e0e19f79019d63d2,1,15.0,28-10-1979,74,76, Orthodox,205,22-09-1989,75,79, Orthodox,205
826,826,win,Abu Azaitar,Vitor Miranda,Middleweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Vitor Miranda,0,0.42,0.75,1,6,1,19,45,63,91,3,4,10,32,3,6,6,7,12,34,3,3,4,8,Abu Azaitar,0,0.37,1.0,0,2,1,48,128,135,226,1,1,33,109,11,15,4,4,30,104,5,8,13,16,3,00:05:00,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/20bbf7e139c73e8d,1,15.0,10-03-1979,73,77, Orthodox,185,10-03-1986,69,76, Orthodox,185
827,827,win,Marcin Tybura,Stefan Struve,Heavyweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Marcin Tybura,0,0.6,0.71,0,3,0,41,68,87,123,5,7,17,37,10,14,14,17,19,42,0,0,22,26,Stefan Struve,0,0.39,0.0,0,0,0,31,78,33,81,0,0,20,64,3,5,8,9,27,73,3,3,1,2,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/8784ae31153178cd,0,15.0,09-11-1985,75,78, Orthodox,249,18-02-1988,73,84, Orthodox,265
828,828,win,Danny Roberts,David Zawada,Welterweight,S-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Danny Roberts,0,0.51,0.0,1,4,0,45,87,68,117,0,2,32,73,6,6,7,8,14,45,1,1,30,41,David Zawada,0,0.51,0.4,5,3,1,33,64,63,99,2,5,21,51,10,11,2,2,18,48,10,11,5,5,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/23e03d226eb7af80,0,15.0,14-07-1987,73,74, Southpaw,170,01-08-1990,72,75, Orthodox,170
829,829,win,Nasrat Haqparast,Marc Diakiese,Lightweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Nasrat Haqparast,1,0.46,0.0,0,0,0,93,198,102,208,0,2,79,180,7,11,7,7,75,170,10,11,8,17,Marc Diakiese,0,0.22,0.0,0,0,0,50,220,50,220,0,4,28,194,20,24,2,2,49,218,1,2,0,0,3,00:05:00,3 Rnd (5-5-5),Tomasz Bronder,http://ufcstats.com/fight-details/4f16ef3e707447a0,0,15.0,22-08-1995,61,72, Southpaw,155,16-03-1993,61,73, Orthodox,155
830,830,win,Damir Hadzovic,Nick Hein,Lightweight,S-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Nick Hein,0,0.21,0.0,0,0,0,43,198,43,198,0,0,32,182,8,12,3,4,43,198,0,0,0,0,Damir Hadzovic,1,0.45,0.0,0,0,0,71,155,71,155,0,0,48,127,12,17,11,11,68,152,2,2,1,1,3,00:05:00,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/3ce7f58911773a56,1,15.0,24-04-1984,66,66, Southpaw,155,08-08-1986,69,70, Orthodox,155
831,831,win,Bartosz Fabinski,Emil Meek,Welterweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Emil Meek,0,0.32,0.0,1,0,0,21,65,69,115,0,0,20,60,1,5,0,0,14,56,3,5,4,4,Bartosz Fabinski,0,0.72,0.66,0,8,0,35,48,72,91,6,9,28,40,4,5,3,3,12,19,3,4,20,25,3,00:05:00,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/e8190df7465ba2df,1,15.0,20-08-1988,61,74, Switch,170,26-04-1986,72,75, Orthodox,170
832,832,win,Nad Narimani,Khalid Taha,Featherweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Khalid Taha,0,0.56,0.0,0,0,2,32,57,59,91,0,0,24,44,3,6,5,7,21,41,7,11,4,5,Nad Narimani,0,0.65,0.54,0,6,0,45,69,67,97,6,11,37,56,5,10,3,3,14,32,5,7,26,30,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/b71192c8fe23078c,1,15.0,15-02-1992,65,69, Orthodox,135,14-04-1987,68,70, Orthodox,145
833,833,win,Aleksandar Rakic,Justin Ledet,Light Heavyweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Justin Ledet,0,0.46,0.0,0,0,0,12,26,28,42,0,1,12,24,0,0,0,2,12,26,0,0,0,0,Aleksandar Rakic,1,0.72,0.75,0,4,0,104,144,263,317,3,4,88,122,5,5,11,17,24,42,2,4,78,98,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/afb0d61f22e85d90,1,15.0,28-09-1988,76,80, Orthodox,205,06-02-1992,76,78, Orthodox,205
834,834,win,Manny Bermudez,Davey Grant,Bantamweight,SUB,Triangle Choke,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Davey Grant,0,0.66,0.0,0,0,0,4,6,4,6,0,0,1,2,0,1,3,3,4,6,0,0,0,0,Manny Bermudez,1,0.6,0.0,2,1,0,3,5,3,5,0,0,3,5,0,0,0,0,2,4,0,0,1,1,1,00:00:59,3 Rnd (5-5-5),Tomaz Bendy,http://ufcstats.com/fight-details/110a49a43aafe044,1,0.98,18-12-1985,68,69,,135,16-07-1994,61,71, Orthodox,145
835,835,win,Darko Stosic,Jeremy Kimball,Light Heavyweight,KO/TKO,Elbows,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Jeremy Kimball,0,0.25,0.0,0,0,0,4,16,4,16,0,1,1,13,0,0,3,3,4,16,0,0,0,0,Darko Stosic,0,0.56,0.0,0,0,0,9,16,9,17,0,0,8,12,0,2,1,2,1,5,0,0,8,11,1,00:03:13,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/981ed463bf5d91a8,1,3.22,03-01-1991,72,72, Switch,205,09-02-1992,72,76, Orthodox,205
836,836,win,Liu Pingyuan,Damian Stasiak,Bantamweight,U-DEC,,0.0,22-07-2018,"Hamburg, Hamburg, Germany",7798.0,Damian Stasiak,0,0.48,0.37,0,2,0,24,49,30,55,3,8,11,29,7,11,6,9,14,37,4,4,6,8,Liu Pingyuan,0,0.41,1.0,2,0,1,32,77,59,106,1,1,21,64,8,10,3,3,18,58,5,7,9,12,3,00:05:00,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/43af04881587abbc,1,15.0,20-02-1990,65,70, Orthodox,135,13-02-1993,66,72, Orthodox,135
837,837,win,Junior Dos Santos,Blagoy Ivanov,Heavyweight,U-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Junior Dos Santos,0,0.44,0.0,0,0,0,110,248,110,248,0,1,66,170,41,75,3,3,110,248,0,0,0,0,Blagoy Ivanov,0,0.22,0.0,0,0,0,51,229,51,229,0,0,40,213,10,15,1,1,49,227,2,2,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/35ebaf80f8730b14,0,25.0,30-01-1984,76,77, Orthodox,238,09-10-1986,61,73, Southpaw,250
838,838,win,Sage Northcutt,Zak Ottow,Welterweight,KO/TKO,Punch,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Sage Northcutt,1,0.64,1.0,1,1,0,24,37,37,50,1,1,18,28,6,8,0,1,6,15,11,13,7,9,Zak Ottow,1,0.37,0.25,1,6,0,6,16,33,47,1,4,5,14,1,2,0,0,1,2,1,2,4,12,2,00:03:13,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/543de77637ad2a20,0,8.22,01-03-1996,72,71, Orthodox,170,22-12-1986,61,72, Orthodox,170
839,839,win,Rick Glenn,Dennis Bermudez,Featherweight,S-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Dennis Bermudez,0,0.36,0.42,0,1,0,42,114,56,132,6,14,25,87,13,22,4,5,29,95,5,5,8,14,Rick Glenn,0,0.35,0.0,1,0,0,48,137,59,151,0,0,32,110,13,20,3,7,41,126,2,5,5,6,3,00:05:00,3 Rnd (5-5-5),Tom Supnet,http://ufcstats.com/fight-details/786296db3c4749f1,1,15.0,13-12-1986,66,66, Orthodox,155,12-04-1989,72,70, Southpaw,145
840,840,win,Niko Price,Randy Brown,Welterweight,KO/TKO,Punch,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Randy Brown,0,0.35,0.5,0,1,0,13,37,18,43,1,2,9,29,3,4,1,4,7,22,4,7,2,8,Niko Price,0,0.3,0.5,0,0,1,12,39,40,81,1,2,9,33,1,3,2,3,2,23,1,4,9,12,2,00:01:09,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/a3dd2249d046cf9d,1,6.15,08-07-1990,75,78, Orthodox,170,29-09-1989,72,76, Orthodox,170
841,841,win,Chad Mendes,Myles Jury,Featherweight,KO/TKO,Punch,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Myles Jury,0,0.25,0.0,0,0,0,3,12,3,12,0,0,0,6,1,1,2,5,3,12,0,0,0,0,Chad Mendes,1,0.62,0.0,0,0,0,17,27,17,27,0,0,16,24,0,0,1,3,2,5,0,0,15,22,1,00:02:52,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/c3939438ae7934df,1,2.87,31-10-1988,61,73, Orthodox,145,01-05-1985,66,66, Orthodox,145
842,842,win,Cat Zingano,Marion Reneau,Women's Bantamweight,U-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Cat Zingano,0,0.57,0.6,0,2,0,33,57,94,123,6,10,14,32,10,13,9,12,12,23,8,9,13,25,Marion Reneau,0,0.35,0.0,0,0,0,14,39,35,62,0,0,10,34,3,4,1,1,8,33,6,6,0,0,3,00:05:00,3 Rnd (5-5-5),Rulon Day,http://ufcstats.com/fight-details/691c0d2f30e4de5a,0,15.0,01-07-1982,66,68, Southpaw,145,20-06-1977,66,68, Orthodox,135
843,843,win,Alejandro Perez,Eddie Wineland,Bantamweight,U-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Eddie Wineland,0,0.26,0.0,0,0,0,48,183,48,183,0,0,23,135,20,43,5,5,47,181,1,1,0,1,Alejandro Perez,0,0.24,0.0,0,0,0,53,214,53,214,0,2,40,197,4,7,9,10,52,212,1,2,0,0,3,00:05:00,3 Rnd (5-5-5),Tom Supnet,http://ufcstats.com/fight-details/b25eacaca1499e30,1,15.0,26-06-1984,67,69, Orthodox,135,02-09-1989,66,67, Orthodox,135
844,844,win,Alexander Volkanovski,Darren Elkins,Featherweight,U-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Darren Elkins,0,0.47,0.16,0,0,0,82,172,93,184,1,6,66,147,15,24,1,1,67,148,15,24,0,0,Alexander Volkanovski,2,0.69,0.16,3,0,0,100,144,103,147,2,12,76,118,11,13,13,13,81,118,18,25,1,1,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/67018331e90a9949,1,15.0,16-05-1984,61,71, Orthodox,145,29-09-1988,66,71, Orthodox,145
845,845,win,Said Nurmagomedov,Justin Scoggins,Flyweight,S-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Justin Scoggins,0,0.36,0.0,0,0,0,32,87,32,87,0,1,18,62,4,14,10,11,29,83,2,2,1,2,Said Nurmagomedov,0,0.57,0.09,0,0,0,65,113,86,134,1,11,40,83,13,16,12,14,45,91,14,15,6,7,3,00:05:00,3 Rnd (5-5-5),Rulon Day,http://ufcstats.com/fight-details/48d21357134ca51a,1,15.0,02-05-1992,67,66, Southpaw,125,05-04-1992,68,70, Orthodox,135
846,846,win,Raoni Barcelos,Kurt Holobaugh,Featherweight,KO/TKO,Punch,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Kurt Holobaugh,0,0.45,0.33,0,0,0,102,226,130,256,1,3,88,206,8,12,6,8,88,208,6,8,8,10,Raoni Barcelos,1,0.56,0.75,0,1,0,82,146,95,160,3,4,76,138,5,7,1,1,67,129,8,9,7,8,3,00:01:29,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/66ba984cc547e31a,1,11.48,08-09-1986,61,70, Orthodox,155,01-05-1987,67,67, Orthodox,135
847,847,win,Liz Carmouche,Jennifer Maia,Women's Flyweight,U-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Liz Carmouche,0,0.67,0.75,0,5,0,53,78,109,135,3,4,32,57,12,12,9,9,31,55,3,3,19,20,Jennifer Maia,0,0.4,0.0,0,0,0,42,104,55,118,0,0,19,72,14,23,9,9,30,86,10,16,2,2,3,00:05:00,3 Rnd (5-5-5),Tom Supnet,http://ufcstats.com/fight-details/cda0d9b5ce9b9c12,0,15.0,19-02-1984,66,66, Orthodox,125,06-10-1988,64,64, Orthodox,125
848,848,win,Mark De La Rosa,Elias Garcia,Flyweight,SUB,Rear Naked Choke,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Mark De La Rosa,0,0.56,0.66,1,1,0,25,44,26,45,2,3,20,36,4,6,1,2,17,34,3,5,5,5,Elias Garcia,0,0.35,0.0,0,0,0,19,54,41,76,0,0,6,36,3,6,10,12,17,52,2,2,0,0,2,00:02:00,3 Rnd (5-5-5),Rulon Day,http://ufcstats.com/fight-details/c1677875a80c2584,0,7.0,31-08-1994,66,65, Orthodox,135,13-09-1992,65,67, Southpaw,125
849,849,win,Jessica Aguilar,Jodie Esquibel,Women's Strawweight,U-DEC,,0.0,14-07-2018,"Boise, Idaho, USA",5648.0,Jessica Aguilar,0,0.64,0.0,0,0,0,128,199,138,209,0,6,83,150,32,36,13,13,85,151,43,48,0,0,Jodie Esquibel,0,0.42,0.0,0,0,0,81,190,81,190,0,2,54,152,27,38,0,0,73,178,8,12,0,0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/7fe2b6a9fc4748fa,0,15.0,08-05-1982,63,63, Orthodox,115,07-05-1986,61,64, Orthodox,115
850,850,win,Daniel Cormier,Stipe Miocic,Heavyweight,KO/TKO,Punches,1.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Stipe Miocic,0,0.47,1.0,0,0,0,24,51,29,56,1,1,15,41,6,7,3,3,19,42,5,9,0,0,Daniel Cormier,1,0.67,0.0,0,0,0,25,37,31,43,0,0,20,30,1,1,4,6,19,31,2,2,4,4,1,00:04:33,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/fccedc456048216b,1,4.55,19-08-1982,76,80, Orthodox,240,20-03-1979,61,72, Orthodox,235
851,851,win,Derrick Lewis,Francis Ngannou,Heavyweight,U-DEC,,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Francis Ngannou,0,0.23,0.0,0,0,0,11,46,11,46,0,0,7,39,3,6,1,1,9,43,2,3,0,0,Derrick Lewis,0,0.37,0.0,0,0,0,20,54,20,54,0,2,1,26,11,18,8,10,18,52,2,2,0,0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/9bd9a8127b55fbf7,1,15.0,05-09-1986,76,83, Orthodox,250,07-02-1985,75,79, Orthodox,260
852,852,win,Mike Perry,Paul Felder,Welterweight,S-DEC,,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Paul Felder,0,0.46,0.0,0,0,0,56,120,64,128,0,1,27,79,16,24,13,17,48,110,7,9,1,1,Mike Perry,0,0.56,0.66,0,0,0,62,110,66,114,2,3,34,78,15,18,13,14,42,86,17,21,3,3,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/7a3947a0e7bc3558,1,15.0,25-04-1984,61,70, Orthodox,155,15-09-1991,61,71, Orthodox,170
853,853,win,Anthony Pettis,Michael Chiesa,Lightweight,SUB,Triangle Choke,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Michael Chiesa,0,0.46,0.33,0,1,0,12,26,19,35,2,6,4,17,7,7,1,2,8,21,3,3,1,2,Anthony Pettis,0,0.4,0.0,2,0,0,9,22,13,26,0,0,3,13,4,6,2,3,7,19,1,1,1,2,2,00:00:52,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/d3f26e0fbf694375,1,5.87,07-12-1987,73,75, Southpaw,170,27-01-1987,61,72, Orthodox,155
854,854,win,Khalil Rountree Jr.,Gokhan Saki,Light Heavyweight,KO/TKO,Punches,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Gokhan Saki,0,0.45,0.0,0,0,0,5,11,5,11,0,0,2,7,0,1,3,3,5,11,0,0,0,0,Khalil Rountree Jr.,1,0.52,0.0,0,0,0,9,17,9,17,0,0,9,17,0,0,0,0,3,11,0,0,6,6,1,00:01:36,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/55bd050afe169b34,1,1.6,19-10-1983,72,73, Orthodox,205,26-02-1990,73,76, Southpaw,205
855,855,win,Paulo Costa,Uriah Hall,Middleweight,KO/TKO,Punches,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Uriah Hall,0,0.47,0.0,0,0,0,58,122,58,122,0,1,45,102,8,15,5,5,54,118,4,4,0,0,Paulo Costa,1,0.64,0.0,0,0,0,75,116,76,117,0,0,39,73,33,40,3,3,66,105,8,9,1,2,2,00:02:38,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/c9e4aa12aaa7309e,1,7.63,31-07-1984,72,79, Orthodox,185,21-04-1991,73,72,,185
856,856,win,Raphael Assuncao,Rob Font,Bantamweight,U-DEC,,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Raphael Assuncao,0,0.45,1.0,0,4,0,54,120,93,161,2,2,41,98,4,7,9,15,36,95,1,1,17,24,Rob Font,0,0.16,0.0,0,0,0,20,122,20,122,0,0,12,105,6,10,2,7,20,122,0,0,0,0,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/148c26038e80465b,0,15.0,19-07-1982,65,66, Orthodox,135,25-06-1987,68,71, Orthodox,135
857,857,win,Drakkar Klose,Lando Vannata,Lightweight,U-DEC,,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Lando Vannata,0,0.37,0.25,0,1,0,50,133,66,150,1,4,18,80,15,30,17,23,37,114,13,19,0,0,Drakkar Klose,0,0.56,0.25,0,0,0,55,98,73,118,1,4,29,68,9,10,17,20,36,77,19,21,0,0,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/2817a6f9e09eb15f,1,15.0,14-03-1992,69,71, Orthodox,155,09-03-1988,69,70, Orthodox,155
858,858,win,Curtis Millender,Max Griffin,Welterweight,U-DEC,,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Curtis Millender,0,0.4,1.0,0,0,0,38,94,40,96,1,1,23,71,10,15,5,8,33,86,3,6,2,2,Max Griffin,0,0.44,0.5,0,1,0,44,99,61,117,1,2,28,75,7,14,9,10,34,85,1,3,9,11,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/9589b41c4637b057,0,15.0,01-12-1987,74,76, Orthodox,170,29-11-1985,61,76, Orthodox,170
859,859,win,Dan Hooker,Gilbert Burns,Lightweight,KO/TKO,Punches,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Dan Hooker,2,0.64,0.0,1,0,0,22,34,22,34,0,0,12,23,4,4,6,7,19,31,0,0,3,3,Gilbert Burns,0,0.46,0.0,0,0,0,13,28,13,29,0,1,5,16,1,2,7,10,13,28,0,0,0,0,1,00:02:28,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/bd97a96ac8203457,0,2.47,13-02-1990,72,75, Switch,155,20-07-1986,61,71, Orthodox,170
860,860,win,Emily Whitmire,Jamie Moyle,Women's Strawweight,U-DEC,,0.0,07-07-2018,"Las Vegas, Nevada, USA",17464.0,Jamie Moyle,0,0.42,0.0,0,0,0,50,117,75,149,0,3,24,81,13,22,13,14,47,110,1,4,2,3,Emily Whitmire,0,0.28,0.5,0,1,0,53,183,111,264,1,2,33,159,9,13,11,11,40,164,2,4,11,15,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/c931097a857ed60c,1,15.0,17-03-1989,61,65, Orthodox,115,24-05-1991,65,63,,115
861,861,win,Israel Adesanya,Brad Tavares,Middleweight,U-DEC,,0.0,06-07-2018,"Las Vegas, Nevada, USA",2123.0,Brad Tavares,0,0.22,0.08,0,1,0,40,174,46,181,1,12,34,163,3,8,3,3,37,164,1,8,2,2,Israel Adesanya,0,0.55,0.0,1,2,0,119,215,127,223,0,2,61,144,21,29,37,42,99,192,12,14,8,9,5,00:05:00,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/247f9e56965a1c07,1,25.0,21-12-1987,73,74, Orthodox,185,22-07-1989,76,80, Switch,185
862,862,win,Michael Trizano,Joe Giannetti,Lightweight,S-DEC,,1.0,06-07-2018,"Las Vegas, Nevada, USA",2123.0,Michael Trizano,0,0.59,0.0,1,2,0,42,71,86,116,0,0,9,26,7,18,26,27,40,67,0,0,2,4,Joe Giannetti,0,0.38,0.16,0,0,0,29,75,61,108,1,6,3,43,11,17,15,15,27,69,2,4,0,2,3,00:05:00,3 Rnd   OT (5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/1d8e2e8e3bd28cad,0,15.0,31-12-1991,61,71, Orthodox,155,05-07-1995,72,74, Southpaw,155
863,863,win,Brad Katona,Jay Cucciniello,Featherweight,U-DEC,,1.0,06-07-2018,"Las Vegas, Nevada, USA",2123.0,Jay Cucciniello,0,0.21,0.0,0,0,0,14,64,18,68,0,1,8,55,5,8,1,1,13,60,1,3,0,1,Brad Katona,0,0.63,0.28,0,3,0,71,111,117,167,2,7,42,74,8,13,21,24,50,81,0,0,21,30,3,00:05:00,3 Rnd   OT (5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/1901d27ea35ae733,1,15.0,23-07-1986,67,0, Orthodox,155,19-12-1991,66,64, Orthodox,135
